Nr.	Datum	Operator	Schicht	Kammer	vSubstr LQ	Pendel#	H2	SiH4	SC	TMB	CH4	CO2	PH3	Gas?	Gasfluss	t	p	P	Pump nach	f	del	Ts	Th	Th depo	Subst	Subst	Anzahl	Pr	CL	CT	UDC	Basis p	d	R	?d/d¯	Deplet	R dyn	h	FF	Voc	jsc	Rs	FF rot	jsc rot	FF blau	jsc blau	j0	n	Reflekt	Anneal	sd nT	sd vT/oT	sph	Photosens	Krist (%)	Krist (%)	Sims [O]	Sims [C]	Sims [N]	Sims [B]	Sims [?]	PDS E04	PDS a 1,2	H2	SiH4	TMB	CH4	CO2	PH3		Bemerkung					Hilfe-Spalten					
					(m/s)	LQ	(sccm)	(sccm)	(%)	(sccm)	(sccm)	(sccm)	(sccm)		(sccm)	(s)	(mbar)	(W)	Schicht (s)	(Hz)	(mm)	(°C)	(°C)	(°C)	Größe	Material	Gläser	(W)			(V)	(mbar)	(nm)	(Å/s)	(%)	(%)	(nm·m/min)	(%)	(%)	(mV)	(mA/cm²)	(W)	(%)	(mA/cm²)	(%)	(mA/cm²)	(mA/cm²)	(-)			(S/cm)	(S/cm)	(S/cm)	(-)	488 nm	647 nm	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(eV)	eV (cm-1)	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm				Größe	Material		DS-Zeile	Leitf-Zeile	Cryst-Zeile	Sims-Zeile	PDS-Zeile	Cal-Zeile
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D046	17.02.2010	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	2						277.22	1.82	5.34	15.68																												339.32	41.39											47	#NV	#NV	#NV	#NV	14
10D047	17.02.2010	JW, TM	a(n)	1			547	91	9.17				23			90	4	34		13.56		180			10x10	Asahi-U	2						16.11	1.79		11.5																												548.97	55.39				14.18							#NV	#NV	#NV	#NV	#NV	14
10D048	17.02.2010	JW, TM	CO2	1								200				120	6	180		13.56		kalt			Dummy	Übrig																																										200								#NV	#NV	#NV	#NV	#NV	14
																																	325																																											#NV	#NV	#NV	#NV	#NV	#NV
10D049	13.04.2010	AF	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Corning	9	2	775	131	0.2	2.00E-06	259.33	1.71	5.2	14.67																												339.32	41.39						-1,-5,-9 werden vermessen. Andere Proben werden als Dummy benutzt. Abdeckschicht!!					51	#NV	#NV	#NV	#NV	14
																																																																												#NV	#NV	#NV	#NV	#NV	#NV
10D050	14.04.2010	JW	µc(p)	1			3000	8.6	0.15	0.8						180	12.5	400		13.56		180			10x10	ZnO	3					9.00E-07	20.88	1.16		88.62		6.73	69.4	505	19.21	2.9	70.7	9.57	68.4	2.93	4.40E-05	1.53	Ag-1	30' 160°C						57.2								3010.8	4.66	1.03				1,5,9	Wdh. Von 10D038, nach langem Stillstand der Anlage					#NV	#NV	20	#NV	#NV	14
10D051	14.04.2010	JW	CO2	1								200				120	6	180		13.56					Dummy	Übrig												8.11	71.1	520	21.93	2.3	72.4	12.85	70.1	2.62	1.64E-05	1.43	ZnO/Ag-5	30' 160°C																		200			"CO2-Plasma hatte nicht gezündet; mit der Hand bei 400W gezündet."					#NV	#NV	#NV	#NV	#NV	14
10D052	14.04.2010	JW	µc(i)	1			3000	50	0.89							2640	12.5	555		13.56		180			10x10	ZnO	3					9.00E-07	1431.24	5.42	4.27	71.24		8.18	69.8	517	22.66	2.9	71.4	13.04	70.5	2.77	1.76E-05	1.46	ZnO/Ag-9	30' 160°C														3010.8	27.08						inhomogenitäten (jsc, jsc blau und ff) bei platz 1 und 9					55	#NV	#NV	#NV	#NV	14
10D053	14.04.2010	JW	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	ZnO	3						15.22	1.79		11.5																												548.97	55.39				14.18							#NV	#NV	#NV	#NV	#NV	14
