Nr.	Datum	Operator	Schicht	Kammer	vSubstr LQ	Pendel#	H2	SiH4	SC	TMB	CH4	CO2	PH3	Gas?	Gasfluss	t	p	P	Pump nach	f	del	Ts	Th	Th depo	Subst	Subst	Anzahl	Pr	CL	CT	UDC	Basis p	d	R	?d/d¯	Deplet	R dyn	h	FF	Voc	jsc	Rs	FF rot	jsc rot	FF blau	jsc blau	j0	n	Reflekt	Anneal	sd nT	sd vT/oT	sph	Photosens	Krist (%)	Krist (%)	Sims [O]	Sims [C]	Sims [N]	Sims [B]	Sims [?]	PDS E04	PDS a 1,2	H2	SiH4	TMB	CH4	CO2	PH3		Bemerkung			
					(m/s)	LQ	(sccm)	(sccm)	(%)	(sccm)	(sccm)	(sccm)	(sccm)		(sccm)	(s)	(mbar)	(W)	Schicht (s)	(Hz)	(mm)	(°C)	(°C)	(°C)	Größe	Material	Gläser	(W)			(V)	(mbar)	(nm)	(Å/s)	(%)	(%)	(nm·m/min)	(%)	(%)	(mV)	(mA/cm²)	(W)	(%)	(mA/cm²)	(%)	(mA/cm²)	(mA/cm²)	(-)			(S/cm)	(S/cm)	(S/cm)	(-)	488 nm	647 nm	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(cm-3)	(eV)	eV (cm-1)	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm	Cal sccm				Größe	Material
																																																			(nach Tempern)	(vor Tempern)	Hell																				10x10	Corning
09D076	08.09.2009		a(i)	1			1026	68	3.86							205	4	33		13.56		180	329	329	10x10	Asahi-U	2					9.00E-07	26.65	1.3		11.17721839																												1029.6936	41.39075						Software-Test. Automatisches Rezept manchmal abgebrochen. Wartezeiten und Temperaturänderungen			
09D077	08.09.2009		a(i)	1			340	68	10.87							1640	4	33		13.56		180			10x10	Asahi-U	2						362.83	2.21		19.02171739		8.15	72.2	820	13.76	4.6	73.5	5.34	70.3	2.58	5.72E-09	1.46	Ag	30'160°C														339.32	41.39075						zwischen Schichten nicht gut definiert.			
09D078	08.09.2009		a(n)	1			547	91	9.17				23			85	4	34		13.56		180	340	340	10x10	Asahi-U	2						18.02	2.12	3.488372093	13.62052242																												548.9692	55.3905625				14.1832534					
09D079	08.09.2009		CO2	1												120	6	400		13.56		kalt			Dummy	Übrig																																																
																																	430																																									
09D080	11.09.2009	TM, JW, AF, DW	a(p)	1			285	47	8.21	6	17					1800	4	25		13.56		180	340	340	10x10	Corning	2	2	826	124	0.2	9.00E-07	305	1.69	6.557377049	23.6877851																3.28E-05	3.56E-05	1.09E+00										284.43	25.456375	7.716937582	13.4667744				inhomogenity 6.5% increase the power from 25 W to 27 W			
																																																																										
09D081	14.09.2009	AF, TM	a(p)	1			285	47	8.21	6	17					2160	4	27		13.56		180	340	340	10x10	Corning	2	2	825	125	0.2	9.00E-07	440	2.04	0	28.4771187																3.82E-05	4.10E-05	1.07E+00								1.923	410	284.43	25.456375	7.716937582	13.4667744				a(p) layer with lower deposition rate. Schicht sieht etwas inhomogen aus (siehe DS-Tabellenblatt)			
																																																																										
09D082	14.09.2009	TM, AF	a(p)	1			285	47	8.21	6	35					2120	4	27		13.56		180	340	340	10x10	Corning	2	2	827	124	0.2	9.00E-07	397.5	1.88	6.918238994	26.21189335																1.38E-05	1.42E-05	1.03E+00								1.95	485	284.43	25.456375	7.716937582	27.725712				Schwierigkeiten beim Zünden, weil Cl=800 eingestellt war.			
																																																																										
09D083	15.09.2009	AF, TM	a(p)	1			285	47	8.21	6	17					61	4	27		13.56		180	340	340	10x10	Asahi-U	3					9.00E-07	12.44	2.04		28.51853996																												284.43	25.456375	7.716937582	13.4667744			1,5,9				
09D084	15.09.2009		CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200			It was complitly automatically It works now without problems			
09D085	15.09.2009		a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	26.65	1.3		11.17721839		7.5	70.1	793	13.49	5.5	73.4	4.76	68.2	2.64	3.41E-09	1.38	Ag-1	30'160°C														1029.6936	41.39075						Beim Reinfahren war Substrattemperatur 172 °C			
09D086	15.09.2009		a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3						311.07	2.05	5.405405405	17.59540797		7.73	72.3	794	13.45	5.2	74.4	5.03	71.4	2.52	4.89E-09	1.4	Ag-5	30'160°C														339.32	41.39075									
09D087	15.09.2009		a(n)	1			547	91	9.17				23			70	4	34		13.56		180			10x10	Asahi-U	3	2	825	125	0.2		14.84	2.12		13.62052242		7.82	69.4	790	14.26	5.5	72.5	5.8	67.3	2.53	3.28E-09	1.34	ZnO/Ag-9	30'160°C														548.9692	55.3905625				14.1832534		Gezündet mit CL/CT=825/125, brennt weiter mit 806/125. SubstrT=180,9°C-->180,4°C			
09D088	15.09.2009		CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig		3.4	855	120	5.1																																					200						
																																	365																																									
09D089	21.09.2009	JW	a(p)	1			285	47	8.21	6	50					2150	4	27		13.56		180	340	340	10x10	Corning	3	2	825	124	0.2	9.00E-07	416.67	1.94	4.761904762	27.09239622																2.56E-06	2.72E-06	1.06E+00								2.05	390	284.43	25.456375	7.716937582	39.60816				a(p) Schicht mit kleiner Deporate und 50 sccm Methan			
																																																																										
09D090	23.09.2009	JW	a(p)	1			285	47	8.21	10	45					1980	4	27		13.56		180	340	340	10x10	Corning	3	2	826	124	0.2	9.00E-07	406	2.05	5.651105651	28.66539717																7.82E-06	8.23E-06	1.05E+00								2.005	455	284.43	25.456375	12.86156264	35.647344				a(p) Schicht mit kleiner Deporate, 45 sccm Methan und 10sccm TMB (soll Eg von 2.06eV haben)			
																																																																										
09D091	23.09.2009	JW	a(p)	1			285	47	8.21	3	45					1960	4	27		13.56		180	340	340	10x10	Corning	3	2	829	123	0.2	9.00E-07	373.33	1.9	2.702702703	26.62795515																1.65E-06	1.84E-06	1.12E+00								2.05	217	284.43	25.456375	3.858468791	35.647344				a(p) Schicht mit kleiner Deporate, 45 sccm Methan und 3sccm TMB (soll Eg von 2.06eV haben), plasma zündet erst nach 15-20s			
																																																																										
09D092	24.09.2009	JW	a(p)	1			285	47	8.21	20	45					1980	4	27		13.56		180	340	340	10x10	Corning	3	2	818	126	0.2	9.00E-07	439.33	2.22	3.510758777	31.01887805																7.28E-06	7.70E-06	1.06E+00								1.925	600	284.43	25.456375	25.61258656	35.647344				a(p) Schicht mit kleiner Deporate, 45 sccm Methan und 20sccm TMB (soll Eg von 2.06eV haben)			
																																																																										
09D093	25.09.2009	JW	a(p)	1			285	47	8.21	10	45					77	4	27		13.56		180	340	340	10x10	Asahi-U	2	2.5	825	124	0.15	9.00E-07	15.79	2.05		28.65833673																												284.43	25.456375	12.86156264	35.647344			1,5	plasma zündet nach 4s, 181.4°C			
09D094	25.09.2009		CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig		2.5	858	120	5.5							4.82	45.8	831	12.66	8.8	51.5	4.89	38.9	2.3	1.47E-08	1.67	Ag-1	30'160°C																		200			zündet sofort			
09D095	25.09.2009		a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	2	2	826	124	0.2	9.00E-07	26.65	1.3		11.17721839		7.58	68.2	818	13.58	6.2	71.5	5.12	65.1	2.53	3.60E-09	1.44	Ag-5	30'160°C														1029.6936	41.39075						zündet nach 20s, regelt lange nach, manuel T_H vor Depostart auf 330°C gestellt, war nur 300°C			
09D096	25.09.2009		a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	2	2	813	124	0.2		314.55	2.07	1.333333333	17.79219715																												339.32	41.39075						zündet sofort			
09D097	25.09.2009		a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	2	2	808	125	0.2		18.02	2.12		13.62052242																												548.9692	55.3905625				14.1832534		zündet nach 10-15s  (nach Depo Heizer manuell ausgestellt)			
09D098	25.09.2009		CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig		2	860	120	6.5																																					200			zündet sofort			
																																	375																																									
09D099	25.09.2009	JW	a(p)	1			285	47	8.21	15	45					1980	4	27		13.56		180	340	340	10x10	Corning	2					9.00E-07	442.5	2.23	2.824858757	31.24245874																8.99E-06	9.30E-06	1.03E+00										284.43	25.456375	19.20943992	35.647344				a(p) Schicht mit kleiner Deporate, 45 sccm Methan und 15sccm TMB (soll Eg von 2.06eV haben)			
																																																																										
09D100	25.09.2009	JW	CO2	1								200				240	6	400		13.56		kalt			Dummy	Übrig		2	866	119	7.7																																					200						
																																																																										
09D101	28.09.2009	JW	a(n)	1			547	91	9.17				18			1800	4	27		13.56		180	340	340	10x10	Corning	2						275	1.53	5.454545455	9.815628057																9.00E-03	1.02E-02	1.13E+00								1.93	170	548.9692	55.3905625				11.09993744		a(n) Schicht mit kleiner Deporate und weniger ph3			
																																																																										
09D102	08.10.2009	TM, AF	a(p)	1			285	47	8.21	14	30					500	4	27		13.56		180	340	340	10x10	fz-c-Si	2					5.00E-06	15.79	0.32		4.413383856																												284.43	25.456375	17.92881059	23.764896				"1: Corning, 5: Corning mit FZc-Si. 0' Ar-Spül; SIMS B-contaminations; by CO2 plasma carrier in PC1"			
09D103	08.10.2009		CO2	1								200				120	6	400		13.56		180			10x10	fz-c-Si	2																																									200			0' Ar-Spül			
09D104	08.10.2009		a(i)	1			1026	68	3.86							180	4	33		13.56		180			10x10	fz-c-Si	2						26.65	1.48		12.72960983																												1029.6936	41.39075						0' Ar-Spül			
09D105	08.10.2009		a(i)	1			340	68	10.87							1800	4	33		13.56		180			10x10	fz-c-Si	2	2	813	124	0.1		314.55	1.75		15.02452204																												339.32	41.39075						0' Ar-Spül			
09D106	08.10.2009		a(p)	1			285	47	8.21	14	30					500	4	27		13.56		180			10x10	fz-c-Si	2						15.79	0.32		4.413383856																												284.43	25.456375	17.92881059	23.764896				0' Ar-Spül. 20s zünden. Am Anfang Plasma nicht stabil.			
09D107	08.10.2009		a(i)	1			1026	68	3.86							180	4	33		13.56		180			10x10	fz-c-Si	2						26.65	1.48		12.72960983																												1029.6936	41.39075						0' Ar-Spül. Plasma zündete nicht. Bei 200W gezündet, danach auf 33W.			
09D108	08.10.2009		a(i)	1			340	68	10.87							1800	4	33		13.56		180			10x10	fz-c-Si	2						314.55	1.75		15.02452204																												339.32	41.39075						5' Ar-Spül			
09D109	08.10.2009		CO2	1								200				120	6	400		13.56		180			10x10	fz-c-Si																																										200			5' Ar-Spül			
																																																																										
09D110	09.10.2009	TM, AF	a(p)	1			285	47	8.21	14	30					500	4	27		13.56		180	340	340	10x10	Übrig	2					5.00E-06	15.79	0.32		4.413383856																												284.43	25.456375	17.92881059	23.764896				1: Corning, 5: Corning mit FZc-Si. 5' Ar-Spül. Plasma überal mit 200W gezündet.			
09D111	09.10.2009		CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig					12																																					200			"5' Ar-Spül. Plasma nicht gezündet; auf Manual --> zünden OK; by CO2 plasma Dymmy carrier in PC1"			
09D112	09.10.2009		a(i)	1			1026	68	3.86							180	4	33		13.56		180			10x10	Übrig	2						26.65	1.48		12.72960983																												1029.6936	41.39075						0' Ar-Spül			
09D113	09.10.2009		a(i)	1			340	68	10.87							1800	4	33		13.56		180			10x10	Übrig	2						314.55	1.75		15.02452204																												339.32	41.39075						0' Ar-Spül. Nicht sicher ob Plasma gebrennt hat.			
09D114	09.10.2009		a(p)	1			285	47	8.21	14	30					500	4	27		13.56		180			10x10	Übrig	2						15.79	0.32		4.413383856																												284.43	25.456375	17.92881059	23.764896				5' Ar-Spül. Nicht sicher ob Plasma gebrennt hat.			
09D115	09.10.2009		a(i)	1			1026	68	3.86							150	4	33		13.56		180			10x10	Übrig	2		825	125			26.65	1.78		15.2755318																												1029.6936	41.39075						0' Ar-Spül. Plasma-Start schwierig.			
09D116	09.10.2009		a(i)	1			340	68	10.87							1800	4	33		13.56		180			10x10	Übrig	2		818	124			314.55	1.75		15.02452204																												339.32	41.39075						0' Ar-Spül.			
09D117	09.10.2009		CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200			5' Ar-Spül.			
																																																																										
09D118	12.10.2009	AF, TZ	a(i)	2	0		340	68	10.87							900	4	100 / 100		60		180			10x10	Corning	5	2,4 / 2,4	516 / 530	220 / 191	0,1 / 0,2	1.00E-06	493.1	5.48	13.56518202	47.10672125																												339.32	41.39075						Statisch 5 Å/s. Zünd 200 W, man Matching, ~2 Min gedauert. Danach 100W. Anfang Car 180°C, Ende 165°C. Proben inhomogen: am Rand andere Temperatur als in der Mitte			
																																																																										
09D119	19.10.2009	JW, TM	a(p)	1			285	47	8.21	10	30					75	4	27		13.56		180	340	340	10x10	Asahi-U	3					9.00E-07	14.63	1.95		27.26036908																												284.43	25.456375	12.86156264	23.764896			1,5,9				
09D120	19.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												8.13	73.3	819	13.55	5.6	74.6	4.92	74.7	2.64	1.70E-09	1.38	Ag-1	30'160°C																		200			Zelle mit 75'' p-Schicht (30/10 - CH4/TMB)			
09D121	19.10.2009	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	26.65	1.3		11.17721839		7.82	72.4	817	13.23	5.7	74.2	5.19	72.6	2.4	3.00E-09	1.42	Ag-5	30'160°C														1029.6936	41.39075						versehentlich falschen MFC für TMB genommen --> 14sccm --> 10sccm			
09D122	19.10.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3						328.71	2.16	7.672301691	18.59315572		8.32	72.5	805	14.26	4.8	74.6	5.9	73.3	2.45	1.72E-08	1.54	ZnO/Ag-9	30'160°C														339.32	41.39075									
09D123	19.10.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	3						18.02	2.12		13.62052242																												548.9692	55.3905625				14.1832534					
09D124	19.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																	388																																									
09D125	19.10.2009	JW, TM	a(p)	1			285	47	8.21	10	30					1980	4	27		13.56		180	340	340	10x10	Corning	3					9.00E-07	386.1	1.95		27.26036908																												284.43	25.456375	12.86156264	23.764896				p-Schicht (30/10 - CH4/TMB)  versehentlich falschen MFC für TMB genommen --> 14sccm --> 10sccm			
																																																																							nicht gemessen, da temperatur fehler am pyrometer gefunden			
09D126	20.10.2009	JW, TM	a(p)	1			285	47	8.21	10	30					125	4	27		13.56		180	340	340	10x10	Asahi-U	3					9.00E-07	24.38	1.95		27.26036908																												284.43	25.456375	12.86156264	23.764896			1,5				
09D127	20.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												6.52	68.8	818	11.58	6.6	71	4.81	65	1.94	2.70E-08	1.61	Ag-1	30'160°C																		200			Zelle mit 125'' p-Schicht (30/10 - CH4/TMB)			
09D128	20.10.2009	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	26.65	1.3		11.17721839		4.18	46.9	826	10.77	9	51.6	4.71	38.5	1.74	3.00E-07	1.96	Ag-5	30'160°C														1029.6936	41.39075						versehentlich falschen MFC für TMB genommen --> 14sccm --> 10sccm			
09D129	20.10.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3						362.96	2.39	4.166666667	20.53050253																												339.32	41.39075									
09D130	20.10.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	3						18.02	2.12		13.62052242																												548.9692	55.3905625				14.1832534					
09D131	20.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																	432																																									
09D132	20.10.2009	JW, TM	a(p)	1			285	47	8.21	16	30					75	4	27		13.56		180	340	340	10x10	Asahi-U	5					9.00E-07	13.13	1.75		24.46443379																												284.43	25.456375	20.49006925	23.764896			1,5,9				
09D133	20.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												6.08	60.6	810	12.39	6.6	64.9	4.91	54.6	2.22	1.00E-07	1.77	Ag-1	30'160°C																		200			Zelle mit 75'' p-Schicht (30/16 - CH4/TMB)			
09D134	20.10.2009	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	5					9.00E-07	26.65	1.3		11.17721839		6.97	68.6	806	12.6	5.3	68.2	4.97	58.3	2.23	3.50E-06	2.16	Ag-5	30'160°C														1029.6936	41.39075									
09D135	20.10.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	5						355.01	2.34	6.024096386	20.08109463		5.56	56.5	800	12.29	7.6	55.2	4.99	38.7	2.14			Ag-9	30'160°C														339.32	41.39075									
09D136	20.10.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	5						15.22	1.79		11.50034676																												548.9692	55.3905625				14.1832534					
09D137	20.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																	410																																									
09D138	23.10.2009	AF, JW	a(p)	1			285	47	8.21	6	78					75	4	27		13.56		180	340	260	10x10	Asahi-U	3					9.00E-07	13.5	1.8		25.16341761																												284.43	25.456375	7.716937582	61.7887296				test mit grading, fehlgeschlagen:			
09D139	23.10.2009	AF, JW	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200			nach Beeden des Gradings springt TMB Fluss wieder auf Anfangswert			
09D140	23.10.2009	AF, JW	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	23.58	1.15		9.887539342																												1029.6936	41.39075						bei Begin der i-Schicht fließt wieder TMB ->Abbruch			
09D141	23.10.2009	AF, JW	abbr.	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3																																					339.32	41.39075									
09D142	23.10.2009	AF, JW	abbr.	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	3																																					548.9692	55.3905625				14.1832534		Achtung, AB HIER NEUE TEMPERATURREGLUNG			
09D143	23.10.2009	AF, JW	abbr.	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200			Plasma brennt wieder gleichmäßiger			
																																																																										
09D145	26.10.2009	JW, TM	a(p)	1			285	47	8.21	6	78					75	4	27		13.56		180	270	263	10x10	Asahi-U	3					9.00E-07	15.6	2.08		29.07772702																												284.43	25.456375	7.716937582	61.7887296			1,5,9	p-Schicht mit grading (50s/10s/15s)  TMB 6 CH4 78  generator war die ersten 3-5 s aus (uups…)			
09D146	26.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												8.85	66.8	900	14.7	8.2	68.8	4.41	73	3.21	2.40E-08	1.81	Ag-1	30'160°C																		200			Pos.1 Andreas Gerber			
09D147	26.10.2009	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3	2	818	126	0.1	9.00E-07	23.58	1.15	5.714285714	9.887539342		8.87	65.1	911	14.96	10.4	67	4.56	71.8	3.25	5.00E-07	2.24	Ag-5	30'160°C														1029.6936	41.39075						Doppel i-layer, mit grading gemacht			
09D147	26.10.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3	2	810	126	0.1		292.28	1.92	5.714285714	16.53259177		9.46	65.8	904	15.92	8.5	67.5	5.51	71.5	3.21	1.50E-06	2.37	ZnOAg-9	30'160°C														339.32	41.39075						mehr als 3 min pause vor i-Schicht, da Temperatur zu hoch wegen zu hoher Temperatur in LC während CO2			
09D148	26.10.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.50034676																												548.9692	55.3905625				14.1832534		Plasma (von 180 auf 165°C gestellt)			
09D149	26.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																	346.67																																									
09D150	26.10.2009	JW, TM	a(p)	1			285	47	8.21	6	30					75	4	27		13.56		180	270	270	10x10	Asahi-U	3					9.00E-07	13.5	1.8		25.16341761																												284.43	25.456375	7.716937582	23.764896			1,5,9	p-Schicht mit grading (50s/10s/15s)  TMB 6 CH4 30  			
09D151	26.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												9.36	73.7	909	13.97	5.2	74	4.36	76.7	2.98			Ag-1	30'160°C																		200						
09D152	26.10.2009	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	23.58	1.15	5.714285714	9.887539342		9.21	71.7	909	14.14	5.2	67.7	4.58	66.1	2.92			Ag-5	30'160°C														1029.6936	41.39075						Doppel i-layer, mit grading gemacht			
09D152	26.10.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3						294.38	1.94	5.714285714	16.65137799		9.49	69.9	905	14.98	4.9	64.6	5.37	58.2	2.96			ZnOAg-9	30'160°C														339.32	41.39075						mehr als 3 min pause vor i-Schicht, da Temperatur zu hoch wegen zu hoher Temperatur in LC während CO2			
09D153	26.10.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.50034676																												548.9692	55.3905625				14.1832534		Plasma (von 165 auf 160°C gestellt)			
09D154	26.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200			einige Löcher in der Zelle --> viele Shunts….			
																																	346.67																																									
09D155	27.10.2009	JW, TM	a(p)	1			285	47	8.21	6	78					90	4	27		13.56		180		280	10x10	Asahi-U	3					9.00E-07	18.72	2.08		29.07772702																												284.43	25.456375	7.716937582	61.7887296			1,5,9	p-Schicht mit grading (65s/10s/15s)  TMB 6 CH4 78  			
09D156	27.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												8.64	64.1	927	14.54	12.6	65.7	4.42	69.8	3.18			Ag-1	30'160°C																		200			Doppel i-layer, mit grading gemacht			
09D157	27.10.2009	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3	2	813	127	0.2	9.00E-07	23.58	1.15	4.347826087	9.887539342		8.52	62.5	929	14.66	15.4	65.2	4.54	70.2	3.19			Ag-5	30'160°C														1029.6936	41.39075						mehr als 3 min pause vor i-Schicht, da Temperatur zu hoch wegen zu hoher Temperatur in LC während CO2			
09D157	27.10.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3						287.49	1.89	4.347826087	16.26183459		9.32	63.1	935	15.81	13.2	65.7	5.52	71.6	3.2			ZnOAg-9	30'160°C														339.32	41.39075						Plasma (von 160 auf 150°C gestellt)			
09D158	27.10.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.50034676																												548.9692	55.3905625				14.1832534		Heizung in PC1 war beim Aufheizen aus (mglw. wg. manueller Temperaturabschaltung vor 09D154)			
09D159	27.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200			sieht aus wie ein schweizer Käse…			
																																	345																																									
09D160	27.10.2009	JW, TM	a(i)	1			340	50	7.39							1980	4	33		13.56		180		275	10x10	Corning	2					9.00E-07	321.67	1.62	3.875968992	21.3484251															5.67E-12	1.00E-11	1.15E-05	2.03E+06			4.00E+19	2.60E+18	4.00E+17			1.93	3.5	339.32	27.08125						i-Schicht als Referenzmessung vor Depo LC gereinigt (etwas weniger Löcher) SIMS auf Asahi U			
																																																																										
09D161	28.10.2009	JW, TM	a(p)	1			285	47	8.21	6	30					50	4	27		13.56		180			10x10	Asahi-U	3					9.00E-07	9	1.8		25.16341761																												284.43	25.456375	7.716937582	23.764896			1,5,9	p-Schicht ohne grading , Temperatur Deposition 280 - 300 °C 			
09D162	28.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												9.38	73.9	894	14.19	5.2	75.1	4.31	76.4	3.09	6.90E-10	1.47E+00	Ag-1	30'160°C																		200			Doppel i-layer, mit grading gemacht			
09D163	28.10.2009	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	23.58	1.15	3.225806452	9.887539342		9.61	73.8	900	14.47	4.6	74.8	4.52	76.5	3.08	1.00E-09	1.51	Ag-5	30'160°C														1029.6936	41.39075						mehr als 3 min pause vor i-Schicht, da Temperatur zu hoch wegen zu hoher Temperatur in LC während CO2			
09D163	28.10.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3	2	806	128	0.2		293.21	1.93	3.225806452	16.58538564		10.13	73.1	895	15.49	5.3	74.8	5.47	76.3	3.1	2.20E-09	1.55	ZnOAg-9	30'160°C														339.32	41.39075						Plasma (von 150 auf 145°C gestellt)			
09D164	28.10.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.50034676																												548.9692	55.3905625				14.1832534		Heizung in PC1 war beim Aufheizen aus (mglw. wg. manueller Temperaturabschaltung vor 09D160)			
09D165	28.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																	341																																									
09D166	28.10.2009	JW, TM	a(p)	1			285	47	8.21	6	30					2400	4	27		13.56		180		270	10x10	Corning	3					9.00E-07	431	1.8	5.263157895	25.10516896																4.65E-06	4.57E-06	9.83E-01								2.03	180	284.43	25.456375	7.716937582	23.764896				standart p-Schicht			
																																																																										
09D167	29.10.2009	JW, TM	a(p)	1			285	47	8.21	6	30					75	4	27		13.56		180		270	10x10	Asahi-U	3					9.00E-07	13.5	1.8		25.16341761																												284.43	25.456375	7.716937582	23.764896			1,5,9	p-Schicht mit grading (50s/10s/15s)  TMB 6 CH4 30  wdh. Von 09D150			
09D168	29.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig												9.5	74.5	904	14.11	5.1	75.2	4.48	76.7	3	3.50E-09	1.61	Ag-1	30'160°C																		200						
09D169	29.10.2009	JW, TM	a(i)	1			1026	68	3.86							205	4	33		13.56		180			10x10	Asahi-U	3					9.00E-07	23.58	1.15	5.633802817	9.887539342		9.58	74.1	911	14.19	5.4	75	4.57	77	3.01	2.10E-09	1.56	Ag-5	30'160°C														1029.6936	41.39075						Doppel i-layer, mit grading gemacht			
09D169	29.10.2009	JW, TM	a(i)	1			340	68	10.87							1520	4	33		13.56		180			10x10	Asahi-U	3						302.71	1.99	5.633802817	17.12275191		10.33	73.5	908	15.47	5.5	75	5.59	76.7	3.01	1.70E-09	1.55	ZnOAg-9	30'160°C														339.32	41.39075									
09D170	29.10.2009	JW, TM	a(n)	1			547	91	9.17				23			85	4	34		13.56		180			10x10	Asahi-U	3						15.22	1.79		11.50034676																												548.9692	55.3905625				14.1832534					
09D171	29.10.2009	JW, TM	CO2	1								200				120	6	400		13.56		kalt			Dummy	Übrig																																										200						
																																	355																																									
09D172	29.10.2009	JW, TM	a(p)	1			285	47	8.21	6	78					2400	4	27		13.56				270	10x10	Corning	3					9.00E-07	498.67	2.08	24.88174078	29.04666107																1.15E-07	1.19E-07	1.03E+00								2.2	80	284.43	25.456375	7.716937582	61.7887296				p-Schicht mit mehr TMB			
																																																																										
09D173	30.10.2009	JW, TM	a(p)	1			285	47	8.21	6	30					72	4	30		13.56		180		270	10x10	Asahi-U	3					9.00E-07	14.4	2	2.325581395	27.9593529																												284.43	25.456375	7.716937582	23.764896			1,5,9	Zelle ohne Plasmastopp			
